ONS_ID,Name,num_fps,fps_per_1000_pop,avg_time_drive_5_fps,avg_dist_walk_5_fps,pct_15min_walk_fp
906,Britannia Village,8,1.2549019607843137,2.089286483161618,0.771679163463017,0.9306473935106874
907,Brookside - Briarbrook - Morgan's Grant,19,1.2036743744060818,1.7467187042842216,1.0294127648902822,0.8500940438871474
908,Byward Market,15,2.932551319648094,1.1856750597520984,0.44691132232783054,1
909,Cardinal Creek,3,0.26490066225165565,3.215661394055276,2.1431698418216585,0.369980879541109
910,Carlingwood West - Glabar Park - McKellar Heights,1,0.11019283746556474,2.006840895211409,1.0247167798254122,0.9560297445845457
911,Carp,13,1.9534184823441023,6.369206837606838,5.559038124542124,0.26974358974358975
912,Carson Grove - Carson Meadows,14,1.5212527964205818,2.0796051439427155,1.01848424375274,0.9460762823323103
913,Chapel Hill North,3,0.8486562942008486,2.40807597233956,1.5871553740730309,0.26574673800807286
914,Chapman Mills,4,0.33277870216306155,2.2066400658165364,1.3437403702180173,0.7016865487453723
915,Convent Glen - Orléans Woods,20,1.487994589110585,2.714768881551795,1.6687622644105105,0.22953638739854176
916,Cumberland,0,0,8.665867227676484,8.076288779803647,0
917,East Industrial,7,7.93201133144476,2.754043521806428,1.743126304288446,0.6208686151324775
918,Edwards - Carlsbad Springs,0,0,10.744400452488687,11.564832975113122,0
919,Elmvale - Canterbury,3,0.25784271594327457,2.617784621793727,1.399809516157829,0.6316729155507945
920,Fallingbrook,4,0.2127659574468085,3.1498229502327244,1.6088033190118152,0.4677228786251343
921,Findlay Creek,0,0,5.490665692913734,4.77022921258797,0
922,Fitzroy,0,0,17.48115013169447,18.081600936494,0
923,Glebe - Dows Lake,2,0.15779092702169625,2.2736461126005363,1.127039693603983,1
924,Glen Cairn - Kanata South Business Park,37,3.3363390441839496,2.1307682764731948,1.0979660434204697,0.5844040762073549
925,Greely,1,0.1016260162601626,8.673637217475612,8.298435248136704,0.13115797127794945
926,Greenbelt,0,0,4.038744514870795,3.219547147732813,0.05411994149195514
927,Hunt Club Woods - Quintarra - Revelstoke,15,3.80794701986755,2.07523576412334,1.166389331532748,0.5921674544226874
928,Kanata Lakes - Arcardia,0,0,4.0186776396147454,2.5137180272721813,0.13293686550129152
929,Katimavik - Hazeldean,17,1.4951627088830255,1.864395856646868,0.8434294740466557,0.9313075664973746
930,Kinburn,0,0,14.865241261722081,14.487828132992327,0
931,Laurentian,18,1.9628099173553721,1.4573231278444352,0.8906587298303682,0.9552130740587506
932,Ledbury - Heron Gate - Ridgemont,8,0.96403411197627,2.1027805882061203,1.3793191786936467,0.32948965927689333
933,Lindenlea - New Edinburgh,0,0,2.7278267506201104,1.4448427017744705,0.7769509635565732
934,Lowertown,4,2.9008863819500403,1.2539452168931937,0.5204992657397282,1
935,Manor Park,18,2.573266619013581,1.8891301668562759,1.0814755119453925,0.5179180887372014
936,Navan - Sarsfield,0,0,8.240133909806042,7.084663231850116,0
937,Old Barrhaven East,13,0.9491793553490211,2.205840114824471,1.327980414000158,0.7727344552421584
938,Old Barrhaven West,29,1.6133518776077886,2.8185427126334193,1.6011643199821488,0.3627691621109004
939,Orléans Village - Chateauneuf,9,2.700096432015429,1.8907578243694927,1.0007279854147677,0.6527803099361896
940,Overbrook - McArthur,12,1.4099216710182767,1.7042030028794737,0.7233425750719868,0.9756273138626079
941,Parkwood Hills - Stewart Farm,0,0,2.251842928396314,1.3792335784935328,0.36190717727618565
942,Portobello South,11,0.7814195789016714,3.3417452988327088,2.1615980707689495,0.14446374691414465
943,Queenswood Heights,18,1.4705882352941175,2.163371880199667,1.0640113144758734,0.7005823627287854
944,Richmond,15,1.9907100199071004,3.843609192756292,3.015213006445672,0.20407458563535913
945,Rideau Crest - Davidson Heights,0,0,2.5594382958467214,1.4739807640128524,0.5824348446983221
946,Riverside South - Leitrim,13,0.927246790299572,2.1358363080656075,1.3371058164765173,0.8348148666620004
947,Riverview,0,0,3.2762811824788844,1.5026835002946375,0.48202710665880966
948,Rockcliffe Park,0,0.5,3.7277743271221535,2.1326380952380952,0.463768115942029
949,Sandy Hill,49,4.355400696864112,1.2798487478956229,0.6042473169191919,0.9577020202020202
950,Skyline - Fisher Heights,0,0.24125452352231605,2.354072353342006,1.3733668463110944,0.627206838877532
951,Stittsville,11,0.3503742634177417,2.9867177292182925,1.8146942297171176,0.3482766388826312
952,Stonebridge - Half Moon Bay - Heart's Desire,0,0,4.470784054849095,3.5148037662427907,3.474393718296157e-4
953,Vanier North,4,0.5813953488372093,1.603598347632666,0.7799039656816016,1
954,Vanier South,8,2.140672782874618,0.9340901272789818,0.4712832669910069,1
955,Vars,0,0,14.662845888724766,13.292295716395865,0
956,Wateridge Village,7,27.45098039215686,2.1166666666666667,0.643,1
957,West Centretown,13,1.3742071881606766,1.260473107569721,0.6076260557768924,1
958,Westboro,9,0.7867132867132868,1.6884613102462442,1.0112263451735577,0.8883404806214095
